date,gdp,real_gdp
2020-07-31,391037.6666666667,140863.71277617675
2020-08-31,391037.6666666667,141117.88764585587
2020-09-30,391037.6666666667,140458.9319923372
2020-10-31,436859.0,155355.26315789475
2020-11-30,436859.0,153337.66233766233
2020-12-31,436859.0,151950.95652173914
2021-01-31,339905.0,116725.61813186815
2021-02-28,339905.0,115574.63447806868
2021-03-31,339905.0,113642.59445001671
2021-04-30,394103.3333333333,130844.4001770695
2021-05-31,394103.3333333333,129171.8562220037
2021-06-30,394103.3333333333,128918.32951695562
2021-07-31,504294.6666666667,164802.17864923747
2021-08-31,504294.6666666667,165125.9550316525
2021-09-30,504294.6666666667,163149.35835220534
2021-10-31,578646.6666666666,185523.13775782837
2021-11-30,578646.6666666666,184047.9219677693
2021-12-31,578646.6666666666,183000.21083702298
